region;citiziens;literacy;ratio
Jammu and Kashmir;12500000;7245000;0,5796
Himachal Pradesh;6857000;5105000;0,744494677
Punjab;27700000;19000000;0,685920578
Uttarakhand;10100000;6997000;0,692772277
Haryana;25400000;16900000;0,665354331
Rajasthan;68600000;39000000;0,56851312
Uttar Pradesh;199600000;118400000;0,593186373
Bihar;103800000;54400000;0,524084778
Sikkim;608000;449000;0,738486842
Arunachal Pradesh;1383000;790000;0,571221981
Assam;31200000;19500000;0,625
Meghalaya;2964000;1818000;0,613360324
Mizoram;1091000;848000;0,777268561
Tripura;3671000;2832000;0,77145192
Manipur;2722000;1891000;0,694709772
Nagaland;1981000;1358000;0,685512367
West Bengal;91300000;62600000;0,685651698
Jharkhand;33000000;18800000;0,56969697
Orissa;41900000;27100000;0,646778043
Chhattisgarh;25500000;15600000;0,611764706
Madhya Pradesh;72600000;43800000;0,603305785
Delhi;16800000;12800000;0,761904762
Gujarat;60400000;41900000;0,693708609
Maharashtra;112400000;82500000;0,733985765
Telangana;35190000;23230000;0,660130719
Andrha Pradesh;84700000;51400000;0,606847698
Karnataka;61100000;41000000;0,671031097
Tamil Nadu;72100000;52400000;0,726768377
Kerala;33400000;28200000;0,844311377
Goa;1458000;1152000;0,790123457
;;;
;;;
